BSV,abschlussdatum,einloesungsdatum,erstmalige_zuteilungsanwartschaft,Tilgungsbeginn,Vertragsende,DaBetrag,bausparsumme_teuro,guthaben,tariff_amount,contract_type
800147,2000-09-16,2000-11-27,20100827,,,25398.14,25.349,12815.46,0.4,BS2
800148,2017-03-09,2017-09-18,20310925,,,34499.7,40.032,31283.05,NA,VL7
800149,2000-04-11,2000-07-20,20100214,,,26843.54,30.58,3735.49,0.3,BS1
800150,2012-06-28,2012-10-05,,,,"199.101,86","40,119","159.783,23",NA,BS2
800151,2016-08-05,2016-08-31,20261027,20271128,,17990.69,20.786,9186.56,0.4,BS2
800152,2022-11-20,2023-04-18,20320925,,,10065.36,10.145,9021.81,0.4,VL7
800153,2010-09-26,2010-11-10,,,,13378.96,15.009,10457.02,NA,
800154,2014-01-04,2014-06-10,20211007,20221218,,45690.68,45.482,7320.71,0.35,VL7
800155,2018-07-02,2018-07-27,20290109,,,"54.130,32","15,291","46.378,29","0,5000",
800156,2001-03-11,2001-07-12,,,,140778.67,24.571,52048.09,0.3,VL7
800157,1999-08-20,2000-08-05,20080926,,,22182.03,25.143,8014.9,0.35,BSK
800158,2015-05-12,2016-05-12,20290826,20311015,,18792.1,20.751,1119.16,0.35,
800159,2014-09-24,2014-10-29,20230624,20241007,,"24.594,65","25,262","20.073,30","0,4000",
800160,2021-06-06,2022-02-01,,,,18657.29,20.117,7698.37,0.3,
800161,2014-11-12,2015-10-13,20291124,20300929,,23696.2,25.789,2106.99,NA,VL7
800162,2007-09-27,2008-05-31,20220314,20220331,20271124,21675.11,24.902,7684.82,0.4,BSK
800163,2011-06-01,2011-11-08,20251018,20260726,,35400.67,36.648,28150.46,NA,BS2
800164,2021-03-18,2021-04-13,20350420,,,43405.73,50.534,8885.8,NA,BSK
800165,1998-05-28,1999-05-16,20120717,,,52488.15,50.134,2108.53,0.4,VL7
800166,2009-05-09,2009-11-11,,,,"40.432,60","40,301","38.099,10",NA,BS2
800167,2012-04-23,2012-05-17,20210518,20210808,,21486.53,24.255,4398.16,0.3,BS1
800168,2017-01-12,2017-11-14,20280331,20290328,,34074.21,40.073,12012.77,0.5,VL7
800169,2018-03-03,2018-07-18,20270129,,,34965.56,36.298,10189.67,0.5,
800170,2011-04-25,2011-05-28,20240728,,,"9884,04","10,039","8660,62","0,3000",BS2
800171,2018-02-20,2018-05-06,20260614,,,43548.56,45.909,14334.12,0.3,BS1
800172,1998-06-18,1998-08-21,,,,"51.707,27","50,382","24.244,98","0,3500",BSK
800173,2010-10-21,2011-01-04,20190723,20210805,,37448.52,36.061,19768.5,0.4,BS1
800174,2005-08-23,2006-05-18,20190405,,,"42.340,00","45,622","19.660,26","0,4000",BS1
800175,2004-03-07,2005-03-13,20130506,,,77567.06,30.965,25357.12,0.3,BSK
800176,2013-10-24,2014-06-09,20260821,,,40229.56,45.938,34257.39,0.4,BS1
800177,2000-09-14,2001-01-02,,,,"24.624,96","24,573","6984,12","0,4000",BS1
800178,2001-07-21,2001-11-11,20150129,20150305,,53863.62,20.073,7521.19,0.4,BS1
800179,2019-02-22,2020-02-24,20311115,,,26391.46,30.952,11740.19,NA,BS2
800180,2009-04-04,2010-03-04,20181218,,,52347.69,50.55,31347.85,0.3,BS1
800181,1999-12-26,2000-02-07,,,,23352.18,24.614,5726.38,NA,BS2
800182,2017-07-23,2017-11-30,20300628,,,16024.28,15.95,10436.98,0.4,VL7
800183,2021-04-16,2021-09-14,20290112,,,"48.866,66","50,456","25.786,97","0,5000",
800184,2001-08-12,2001-12-29,20110821,,,69859.55,15.769,12490.54,NA,
800185,2016-07-19,2017-07-17,20240604,20260303,,36258.59,36.385,23028.26,NA,BS2
800186,2006-04-25,2006-05-24,,,,27175.05,30.21,22557.66,0.35,BS2
800187,2021-04-11,2021-10-24,20331219,,,83184.55,15.094,37407.89,0.3,VL7
800188,2005-03-06,2005-08-02,20160412,20160617,,41182.27,45.866,37982.61,0.4,
800189,2018-03-17,2019-03-05,20300106,,,"107.586,15","30,944","75.666,70","0,3500",VL7
800190,2021-03-27,2021-10-01,20321219,,,37372.61,36.782,17745.76,0.5,BS2
800191,1998-04-19,1999-03-20,20100510,20100827,,42609.05,40.683,18961.13,0.4,BSK
800192,2020-07-27,2021-02-23,20310208,,,38867.72,40.694,12026.37,0.3,
800193,2009-12-18,2011-01-19,20210311,,,30658,30.08,2036.51,0.5,VL7
800194,2014-08-04,2014-09-24,20211125,,,34890.74,40.203,27339.04,NA,VL7
800195,1998-11-27,1999-11-24,,,,42646.13,45.345,5663.55,0.4,BSK
800196,2014-04-19,2014-07-25,20220919,,,14422.31,15.993,11455.04,0.5,BSK
800197,2018-03-03,2018-11-21,,,,14755.01,15.885,8182.54,0.4,BS2
800198,2006-08-05,2007-03-26,20190310,20191017,20290630,"9864,70","10,162","4848,11","0,5000",BS2
800199,2008-09-19,2009-08-19,20220526,,,34816.48,40.933,13340.32,0.4,BS2
800200,1999-08-12,1999-10-03,20080421,20081214,,37179.91,36.889,32357.82,0.3,BS2
800201,2010-01-26,2010-03-29,20190214,20190408,20280321,25619.53,25.861,19111.66,0.3,BSK
800202,1999-08-04,1999-11-12,20110516,20130906,,"59.168,65","10,016","16.012,57","0,4000",BS2
800203,2016-04-02,2016-07-15,20280924,,,"30.314,09","30,738","23.326,16","0,5000",BS2
800204,2006-02-08,2006-06-30,20181118,,,15850.89,15.784,8579.1,0.4,
800205,2011-02-17,2011-03-16,20210117,,,9567.53,10.35,6760.44,0.35,VL7
800206,2009-07-15,2009-09-20,20190320,20200612,,"52.161,45","50,586","48.743,98","0,3500",VL7
800207,2014-03-16,2014-06-14,,,,49347.97,50.043,2664.75,0.4,BS2
800208,2007-03-14,2007-07-05,20150616,,,"18.135,85","20,282","16.196,65","0,4000",VL7
800209,2002-06-10,2003-05-21,20131121,,,66587.5,20.774,26811.41,0.3,BSK
800210,2021-09-05,2022-05-20,,,,241533.51,50.95,201959.61,NA,BS2
800211,2016-01-09,2016-12-19,20290417,20310811,,44539.58,45.827,38667.35,0.35,BSK
800212,2012-04-20,2013-03-21,20230925,20240621,,35601.08,36.317,1300.57,NA,BSK
800213,2021-08-10,2022-05-10,20301026,,,45566.59,45.645,26479.39,0.35,BSK
800214,2005-03-28,2006-04-29,20171227,,,10596.69,10.371,2389.57,0.4,BSK
800215,2010-05-16,2010-11-08,,,,22650.7,24.752,13670.44,0.4,VL7
800216,2004-11-11,2005-08-19,20141004,20150211,,21769.79,24.162,16001.35,NA,
800217,2004-05-10,2004-08-12,20120501,,,109533.89,20.399,39222.54,0.4,BS1
800218,2004-07-19,2005-06-03,,,,"42.029,48","45,303","25.384,99","0,4000",BS2
800219,2019-02-05,2019-06-18,20330218,,,37434.34,40.459,14851.01,0.4,VL7
800220,2020-04-24,2021-05-02,20310526,20320507,,"45.413,93","45,333","25.846,65","0,3500",BS2
800221,2000-02-05,2001-02-04,,,,16349.09,15.726,15264.22,NA,BS1
800222,2001-08-19,2001-10-12,20151017,20171027,,21981.25,25.071,20174.33,0.4,VL7
800223,2007-04-03,2007-06-18,20160213,20170625,,24313.47,25.493,6956.31,0.35,VL7
800224,2003-05-11,2004-02-20,,,,10223.6,10.643,6573.38,0.4,
800225,1998-11-03,1999-02-17,20100512,,,46812.8,45.647,1474.25,NA,
800226,2012-11-08,2013-07-12,20210209,,,"96.186,18","20,532","66.796,94","0,3000",BSK
800227,2020-07-05,2020-10-18,,,,35342.5,36.864,28117.39,0.4,
800228,2017-10-11,2018-03-13,20260424,20270214,,88065.64,30.487,76775.03,0.3,BSK
800229,2020-01-19,2020-12-06,,,,22464.17,24.973,12227.06,NA,VL7
800230,2001-01-13,2001-11-27,20140129,20141216,,16437.96,15.664,4073.66,0.35,VL7
800231,2007-05-11,2008-03-04,20150211,,,48419.67,10.889,39197.46,0.5,VL7
800232,2021-08-22,2022-09-15,20340207,,,"32.996,37","36,623","2473,93","0,3500",BSK
800233,2017-07-07,2018-01-20,20250702,,,32780.46,36.077,16199.37,0.4,BSK
800234,2005-07-02,2006-01-09,20160413,,,27527.04,30.581,7659.38,NA,BSK
800235,2002-04-14,2002-11-24,20150213,20160330,,"31.486,05","10,904","1414,49","0,5000",BS1
800236,2018-06-23,2018-11-11,20270105,20290302,20380227,13542.89,15.123,12223.36,0.5,BS2
800237,2012-11-24,2013-10-26,20260515,,,69361.63,25.506,45887.57,0.4,BS2
800238,2001-02-17,2002-02-04,20101218,,,40875.69,40.706,2332.38,0.4,BSK
800239,2015-06-13,2015-10-13,20270729,,,"91.681,83","20,694","24.761,18","0,3500",VL7
800240,2005-10-13,2006-02-26,20150107,,,25425.99,24.579,20153.92,0.35,BS1
800241,2009-09-07,2010-08-02,20240221,20240915,,31238.77,36.675,7393.9,NA,VL7
800242,2008-08-17,2009-03-05,,,,179391.6,36.327,17129.09,0.4,VL7
800243,2007-08-07,2007-10-01,20200806,,,24420.25,25.147,15923.58,0.3,BSK
800244,2013-08-27,2014-03-07,20230815,20250806,,10244.99,10.436,2238.59,0.5,VL7
800245,2001-04-10,2002-03-19,,,,"22.482,94","24,632","7629,90","0,3000",BS1
800246,2008-06-14,2009-04-18,20181114,20190716,20261029,50157.71,50.163,34479.92,0.4,BSK
800247,1998-05-06,1999-04-23,20110209,,,22117.22,24.745,13013.69,0.3,BS1
800248,2012-12-07,2013-10-20,20220718,,,20981.55,20.504,10436.36,0.35,VL7
800249,2009-02-27,2009-07-09,20210104,,,"39.840,24","10,645","20.968,75","0,4000",
800250,2004-06-13,2004-09-12,20120107,,,16075.69,15.341,6461.11,0.3,BSK
800251,2004-08-12,2005-06-21,20121128,,,"20.974,13","20,868","13.849,76",NA,BSK
800252,2021-09-03,2022-01-10,20350719,20351207,20431015,47180.34,45.831,24937.7,0.4,BS1
800253,2022-04-06,2022-07-27,20340930,,,20731.07,20.102,10115.73,0.4,BSK
800254,2016-08-05,2017-08-26,20301227,,,40707.21,45.403,25494.2,NA,BSK
800255,2004-03-11,2005-01-28,20150127,,,"21.662,03","24,432","9782,30","0,3000",VL7
800256,2006-05-09,2007-01-18,20200426,20221006,,49295.98,50.053,38520.08,NA,
800257,2006-05-26,2006-12-05,,,,46995.19,45.52,9863.71,0.35,BS1
800258,2006-02-13,2007-01-23,,,,"116.009,18","20,054","101.048,14","0,4000",BS1
800259,2020-02-05,2020-11-05,20291221,20301210,,17508.75,20.157,12450.35,0.5,BS2
800260,2001-10-08,2002-03-21,20111201,,,35935.92,40.882,12457.64,0.5,VL7
800261,1998-01-04,1998-05-10,20081022,,,40127.55,40.707,36959.54,0.4,
800262,1998-11-14,1999-11-17,20111123,,,24471.04,24.119,1825.95,0.4,BSK
800263,2019-03-22,2020-03-05,20270712,,,8885.53,10.378,4501.71,0.4,BS2
800264,2003-06-24,2004-02-04,20131002,,,"35.074,67","40,892","19.920,02","0,4000",VL7
800265,2000-05-08,2000-10-21,20100119,,,35412.53,40.939,14696.88,0.35,BSK
800266,2022-06-04,2023-05-08,20340402,20360317,,14824.08,15.827,9906.23,0.4,BS1
800267,2007-01-12,2007-09-07,20161229,20180914,,32588.53,36.199,27807,0.4,BS2
800268,2008-01-10,2008-11-23,20220913,,,22007.76,24.832,18218.35,0.3,BSK
800269,2006-10-14,2007-07-02,20150731,,,31411.83,30.733,777.31,0.4,BSK
800270,2014-08-15,2014-10-02,,,,29450.02,30.888,16722.22,0.3,BSK
800271,2016-09-05,2017-01-10,20290721,20310907,,21076.23,20.388,7220.42,NA,BS2
800272,2005-06-25,2005-12-05,,,,45353.17,50.921,31161.39,0.4,BSK
800273,2009-10-10,2010-10-11,20210714,,,"31.470,24","30,357","6984,54","0,3500",VL7
800274,2009-10-22,2009-11-29,20161227,20170523,,"24.255,20","25,564","10.001,80","0,3000",BSK
800275,2017-10-24,2018-06-12,20310505,,,165395.43,30.045,38128.67,0.35,
800276,2004-10-08,2005-06-20,20130811,,,28198.55,30.117,11665.63,0.35,BS1
800277,2008-08-16,2009-06-11,,,,13888.88,15.69,12953.29,0.35,BS1
800278,2001-12-18,2002-04-01,20120903,20130717,,26937.42,30.445,17917.46,0.35,VL7
800279,2021-11-27,2022-03-10,20321101,,,27614.76,30.098,5740.47,0.4,BS2
800280,1999-12-01,2000-11-22,20080824,20100312,,"24.754,74","24,834","20.097,87","0,3500",VL7
800281,2010-12-06,2011-03-30,20230323,,,21101.35,20.476,5581.47,0.3,BS2
800282,2002-10-01,2003-10-04,20130630,,,29818.78,30.085,16463.83,0.3,VL7
